# time of execution: 2022-11-18 12:36:26
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['0.8']
### sample paramters ###
# Sample: ['FGT']
# S=[2.0]
# mu_at=[2.0][mu_B]
# nz=1
# dx=[3.9e-10]	dy=[3.9e-10]	dz=[1.63e-09]	[m]
# atoms per unit cell:[10]
# asf=[0.035]
# Jint=[[0.0, 0.0]][J]
# Hex=0.0[J]
# gep=['4.4e+17'][W/m^3/K]
# factor cv_el=['200.0'][J/m^3/K^2]
# cv_ph_max=['2595527.4085388687'][J/m^3/K]
# Tc=[191][K]
# T_Deb=[460][K]
# kappa=[0][W/m/K]
# D=[0][W/m^2]
### pulse paramters ###
# peak power:7.5e+21[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	T_p(acc) [K]	itinerant mag
1.64	[[0.9945473782871175]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.65	[[0.994515546272699]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.66	[[0.9944837307596247]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.67	[[0.9944519317364523]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.68	[[0.99442014919175]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.69	[[0.994388383114096]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.7	[[0.9943566334920809]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.71	[[0.9943249003143033]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.72	[[0.9942931835693748]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.73	[[0.9942614832459152]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.74	[[0.9942297993325563]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.75	[[0.9941981318179384]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.76	[[0.9941664806907138]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.77	[[0.9941348459395457]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.78	[[0.9941032275531071]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.79	[[0.9940716255200807]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.8	[[0.9940400398291599]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.81	[[0.9940084704690474]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.82	[[0.9939769174284597]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.83	[[0.9939453806961198]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.84	[[0.9939138602607629]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.85	[[0.9938823561111346]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.86	[[0.9938508682359899]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.87	[[0.9938193966240947]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.88	[[0.9937879412642245]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
